Actual idiom,Literal Translation,English Pronounciation,English_Translation,Human Annotation & With descriptions,Image_ID
अक्ल पर पत्थर पड़ना,A stone falls on the brain.,Akal Par Patthar Padna.,Loss of intelligence.,"The Hindi idiom 'अक्ल पर पत्थर पड़ना' translates to 'a stone falling on one's wisdom' in English. It describes a situation where a person is unable to think clearly or make sensible decisions, as if their intelligence or common sense has been obstructed or impaired. For an image representation, you might visualize a person with a perplexed or confused expression, possibly with a symbolic stone hovering over or near their head, indicating the blockage of their thought process.",12.png
आँखें खुल जाना,Eyes open.,Aankhen Khul Jana.,"To have knowledge of reality, to learn.","The Hindi idiom 'आँखें खुल जाना' translates to 'eyes opening' in English. It signifies a moment of sudden realization or enlightenment, where someone becomes aware of a truth or gains a new understanding of a situation. This awakening often leads to a change in perspective or behavior. For an image, you might depict a person with wide-open eyes, possibly with light or an illuminating element around their head, symbolizing newfound awareness or clarity.",13.png
अंगूठा दिखाना,To show the thumb.,Angutha Dikhana.,to deny.,"The Hindi idiom 'अंगूठा दिखाना' (Angutha Dikhana) translates to 'showing the thumb' in English. It is used to describe a situation where someone refuses to comply or cooperate, often in a dismissive or defiant manner. The imagery for this idiom could include a person holding up their thumb in a gesture of refusal or defiance, possibly with a stern or indifferent expression on their face.",14.png
आँखें नीची होना,Eyes become low.,Aankhen Neechi Hona.,be ashamed,"The Hindi idiom 'आँखें नीची होना' translates to 'eyes lowered' in English. It signifies a state of feeling ashamed, guilty, or embarrassed. The imagery typically involves a person with their head slightly bowed and their eyes looking downward, reflecting a sense of humility or remorse.",15.png
अन्धों में काना राजा,One-eyed king among the blind.,Andhon Mein Kana Raja.,"Even among fools, the one with less knowledge is considered to be the most knowledgeable.","The idiom ""अन्धों में काना राजा"" translates to ""In the land of the blind, the one-eyed man is king."" This means that among people who lack certain abilities or knowledge, someone with even a slight advantage or skill can become a leader or stand out. 

For an image representation, you might depict a group of blindfolded people with one person among them having one eye uncovered, symbolizing their relative advantage and leadership.",16.png
आपे से बाहर होना।,To be out of oneself.,Aape Se Bahar Hona.,Don't be controlled by anger.,"The Hindi idiom ""आपे से बाहर होना"" translates to ""to be out of control"" or ""to lose one's temper"" in English. It describes a situation where someone is unable to contain their emotions, often resulting in an outburst of anger or frustration. 

For an image representation, you might depict a person with exaggerated facial expressions and body language, such as clenched fists, a red face, or wild gestures, to convey the sense of losing control or being overwhelmed by emotions.",17.png
अपने पाँव पर आप कुल्हाड़ी मारना,To hit one's own foot with an axe.,Apne Paon Par Kulhadi Marna.,To harm oneself.,"The Hindi idiom 'अपने पाँव पर आप कुल्हाड़ी मारना' translates to 'to cut one's own foot with an axe' in English. This idiom describes a situation where someone causes harm to themselves through their own actions or decisions. It conveys the idea of self-sabotage or making a mistake that leads to one's own downfall. 

For an image based on this idiom, you could depict a person holding an axe and accidentally striking their own foot, symbolizing the act of self-inflicted harm or making a detrimental mistake.",18.png
आकाश-पाताल एक करना,To make sky and underworld one.,Aakash-Pataal Ek Karna.,To make excessive efforts or hard work.,"The Hindi idiom 'आकाश-पाताल एक करना' translates to ""to move heaven and earth"" in English. It means to make every possible effort or to go to great lengths to achieve something. An image representing this idiom could depict a person or group of people engaged in intense activity, showing determination and effort, with symbolic elements of the sky (आकाश) and the earth (पाताल) to illustrate the extent of their endeavors.",19.png
आस्तीन का साँप।,Snake in the sleeve.,Aasteen Ka Saap.,Treacherous friend.,"The idiom ""आस्तीन का साँप"" translates to ""a snake in the sleeve"" in English. It refers to a person who appears to be friendly and trustworthy but is actually deceitful and treacherous. The imagery suggests someone who hides their true intentions and can strike unexpectedly, much like a snake concealed within one's sleeve. This idiom is often used to describe a hidden enemy or a traitor who betrays trust from within.",20.png
आँख का तारा,Star of the eye.,Aankh Ka Tara.,Very cute.,"The Hindi idiom 'आँख का तारा' translates to 'apple of the eye' in English. It refers to someone who is very precious, cherished, or dearly loved. The phrase is often used to describe a person, usually a child or a loved one, who holds a special place in someone's heart and is the focus of their affection and attention.",21.png
अम्बर के तारे गिनना,To count the stars in the sky.,Ambar Ke Taare Ginna.,Insomnia.,"The Hindi idiom 'अम्बर के तारे गिनना' translates to 'counting the stars in the sky' in English. It is used to describe an activity that is impossible or futile, akin to chasing an unattainable goal. The imagery involves a person looking up at the vast night sky, attempting to count the countless stars, symbolizing an effort that is bound to be unsuccessful due to its sheer impracticality.",22.png
अंगद का पैर होना,To have Angad's foot.,Angad Ka Pair Hona.,Getting the impossible done.,"The Hindi idiom 'अंगद का पैर होना' translates to 'Angad's foot' in English. It refers to a situation where someone is immovable or unyielding, much like the mythological character Angad from the Indian epic Ramayana, who planted his foot firmly and challenged anyone to move it. The image could depict a strong, determined figure with one foot firmly planted on the ground, symbolizing steadfastness and resilience.",23.png
अन्त न पाना,Not to find the end.,Ant Na Paana.,Not being able to know the secret.,"The Hindi idiom ""अन्त न पाना"" translates to ""not finding the end"" in English. It describes a situation where something is so vast, complex, or endless that it is impossible to reach a conclusion or see the end of it. This can be visualized as a person standing at the edge of an immense, winding labyrinth or an endless ocean, looking out into the distance with no end in sight. The imagery conveys a sense of infinity, boundlessness, and the overwhelming nature of the task or situation.",24.png
अवगत करना।,To inform.,Avagat Karna.,To give information about something.,"The idiom ""अवगत करना"" translates to ""to inform"" or ""to make aware"" in English. It signifies the act of providing information or making someone aware of a particular situation, fact, or piece of news. For an image representation, you might consider depicting a scene where one person is sharing important information with another, perhaps through conversation, a letter, or a digital message, symbolizing the transfer of knowledge or awareness.",25.png
अक्ल चरने जाना,Wisdom goes grazing.,Akal Charne Jaana.,Becoming corrupt.,"The Hindi idiom 'अक्ल चरने जाना' translates to 'losing one's wits' or 'acting foolishly' in English. It is used to describe someone who is behaving in a senseless or irrational manner, as if their common sense has gone grazing like cattle. For an image representation, you might depict a person looking confused or bewildered, with a whimsical or humorous touch, perhaps showing their thoughts wandering away like grazing animals.",26.png
अपना घर समझना,To consider as one's own house.,Apna Ghar Samajhna.,Don't hesitate.,"The Hindi idiom 'अपना घर समझना' translates to 'Consider it your own home' in English. This idiom is often used to convey a sense of hospitality and warmth, encouraging someone to feel comfortable and at ease as if they were in their own home. It implies a welcoming and inclusive environment where the guest is treated with kindness and generosity.",27.png
आसमान सिर पर उठाना।,To lift the sky on the head.,Aasman Sir Par Uthana.,make a lot of noise,"The Hindi idiom 'आसमान सिर पर उठाना' translates to ""lifting the sky on one's head"" in English. It is used to describe a situation where someone is creating a lot of commotion or making a big fuss over something trivial. The imagery for this idiom could include a person dramatically holding up the sky, symbolizing exaggerated reactions or over-the-top behavior.",28.png
आधा तीतर आधी बटेर।,"Half partridge, half quail.",Aadhaa Teetar Aadhee Bater.,Incomplete knowledge.,"The Hindi idiom 'आधा तीतर आधी बटेर' translates to 'Half partridge, half quail' in English. It is used to describe something that is a mix of two different things, resulting in a confusing or ineffective combination. The imagery for this idiom could depict a bird that is a blend of a partridge and a quail, highlighting the mismatched and incongruous nature of the combination.",29.png
आसमान टूट पड़ना।,The sky falls down.,Aasman Toot Padna.,Sudden disaster.,"The Hindi idiom 'आसमान टूट पड़ना' translates to 'the sky falling down' in English. It is used to describe a situation where something extremely unexpected and disastrous happens, causing great distress or chaos. The imagery for this idiom could include a scene where the sky appears to be shattering or collapsing, symbolizing an overwhelming and catastrophic event.",30.png
अगर मगर करना,To do ifs and buts.,Agar Magar Karna.,Finding an excuse to escape.,"The Hindi idiom 'अगर मगर करना' translates to 'making excuses' or 'beating around the bush' in English. It describes a situation where someone is avoiding giving a direct answer or is hesitant, often by presenting various hypothetical scenarios or excuses. An image representing this idiom could depict a person standing at a crossroads, looking confused, with multiple signposts pointing in different directions labeled with ""Ifs"" and ""Buts.""",31.png
अन्न-जल उठना,To give up food and water.,Ann-Jal Uthna.,Being close to death.,"The Hindi idiom 'अन्न-जल उठना' translates to ""food and water being taken away"" in English. It signifies a situation where someone is so deeply grieved or distressed that they lose their appetite and desire to eat or drink. This phrase is often used to describe extreme sorrow or mourning, where the person is unable to focus on basic necessities due to their emotional state. An image representing this idiom might depict a person sitting alone, looking despondent, with untouched food and water nearby, symbolizing their deep emotional turmoil.",32.png
अपने पैरों पर खड़ा होना।,To stand on one's own feet.,Apne Pairon Par Khada Hona.,To be self-reliant.,"The Hindi idiom ""अपने पैरों पर खड़ा होना"" translates to ""Standing on one's own feet"" in English. It signifies self-reliance, independence, and the ability to support oneself without relying on others. An image representing this idiom could depict a person standing confidently on their own, perhaps with a backdrop of a journey or path they have traveled alone, symbolizing their personal growth and self-sufficiency.",33.png
अक्ल के पीछे लाठी लिये फिरना,To roam with a stick behind wisdom.,Akal Ke Peeche Lathi Liye Phirna.,Senseless act.,"The Hindi idiom 'अक्ल के पीछे लाठी लिये फिरना' translates to ""Chasing wisdom with a stick"" in English. This idiom describes a situation where someone is trying to force or coerce intelligence or wisdom, which is inherently a futile effort. It implies that wisdom cannot be attained through force or aggression, but rather through patience and understanding.

For an image representation:
- A person holding a stick, looking frustrated or determined.
- The person is chasing after a light bulb (symbolizing wisdom or an idea) that is floating away or out of reach.
- The background could be a simple, open space to emphasize the futility of the chase.",34.png
आपे से बाहर होना,To be out of oneself.,Aape Se Bahar Hona.,Expressing anger beyond capacity.,"The idiom 'आपे से बाहर होना' translates to 'to be out of control' or 'to lose one's temper' in English. It describes a situation where a person is unable to contain their emotions, often resulting in an outburst of anger or frustration. An image representing this idiom could depict a person with an exaggerated, angry expression, possibly with steam coming out of their ears or a chaotic background to emphasize the loss of control.",35.png
अकेला चना भाड़ नहीं फोड़ सकता।,One grain can't break the oven.,Akela Chana Bhad Nahi Fod Sakta.,A single person cannot do great work.,"The Hindi idiom 'अकेला चना भाड़ नहीं फोड़ सकता।' translates to 'A single grain cannot break a pot.' This idiom emphasizes the importance of collective effort and teamwork. It suggests that one person alone cannot achieve significant results or overcome large obstacles; it requires the combined efforts of many to accomplish such tasks. An image representing this idiom could depict a single grain of chickpea (or any small object) attempting to break a large, sturdy pot, highlighting the futility of the lone effort.",36.png
आग खाएगा तो अंगार उगलेगा,"If you eat fire, you will spit embers.",Aag Khayega To Angaar Uglegha.,Doing bad things only gives bad results.,"The Hindi idiom 'आग खाएगा तो अंगार उगलेगा' translates to ""If you consume fire, you will spit out embers."" This idiom means that if someone engages in harmful or negative behavior, the consequences will also be harmful or destructive. It emphasizes the idea that one's actions directly influence the outcomes they experience. 

For an image representation, you could depict a person or creature consuming flames and then exhaling or spitting out glowing embers or sparks, symbolizing the destructive consequences of their actions.",37.png
आँख और कान में चार अंगुल का फ़र्क़।,Four fingers' difference between eye and ear.,Aankh Aur Kaan Mein Chaar Angul Ka Farq.,"Believe what you see with your eyes, not what you hear with your ears.","The Hindi idiom 'आँख और कान में चार अंगुल का फ़र्क़' translates to 'There is a four-finger distance between the eye and the ear.' This idiom emphasizes the difference between seeing something with one's own eyes and hearing about it from others. It suggests that firsthand experience or direct observation is more reliable than secondhand information or hearsay.

For an image based on this idiom, you might depict a face with a clear visual representation of the eye and the ear, highlighting the physical distance between them. This could be illustrated by showing a hand with four fingers extended, placed between the eye and the ear, symbolizing the gap and the difference in perception between seeing and hearing.",38.png
आसमान से गिरा खजूर में अटका।,"Fell from the sky, stuck in a date tree.",Aasman Se Gira Khajoor Mein Atka.,Getting free from one crisis and getting entangled in another.,"The idiom 'आसमान से गिरा खजूर में अटका' translates to ""Fell from the sky and got stuck in a date palm tree."" It describes a situation where someone escapes one difficult or problematic situation only to find themselves in another equally challenging predicament. For an image, you could depict a person falling from the sky and getting caught in the branches of a tall date palm tree, emphasizing the transition from one trouble to another.",39.png
"अपना-अपना कमाना, अपना-अपना खाना।","Earn your own, eat your own.","Apna-Apna Kamana, Apna-Apna Khana.",It is not good to share with anyone.,"The Hindi idiom ""अपना-अपना कमाना, अपना-अपना खाना।"" translates to ""Each one earns their own, each one eats their own."" This idiom emphasizes the importance of self-reliance and personal responsibility. It suggests that individuals should work for their own livelihood and be responsible for their own sustenance, rather than depending on others. 

For an image representation, you might consider depicting two individuals, each engaged in their own work or profession, and then enjoying a meal separately, symbolizing their independence and self-sufficiency.",40.png
आटे के साथ घुन भी पिसता है।,"Along with flour, the bran also gets ground.",Aate Ke Saath Ghun Bhi Pista Hai.,"Along with the criminal, the innocent also gets punished.","The Hindi idiom ""आटे के साथ घुन भी पिसता है।"" translates to ""Along with the flour, the bran also gets ground."" This idiom means that when a major event or action takes place, it often affects not only the primary subjects but also those who are indirectly associated. In other words, innocent or minor parties may suffer consequences along with the main ones involved. 

For an image representation, you could depict a traditional stone mill grinding wheat, with both the wheat grains (representing the main subjects) and the bran (representing the minor or innocent parties) being ground together. This visual would effectively convey the idea that both primary and secondary elements are affected in the process.",41.png
आव न देखा ताव।,Didn't see the heat or cold.,Aav Na Dekha Taav.,without reason.,"The Hindi idiom ""आव न देखा ताव"" translates to ""Acting without hesitation or consideration"" in English. It describes a situation where someone takes immediate action without thinking about the consequences or evaluating the situation. The imagery for this idiom could depict a person jumping into action impulsively, perhaps leaping over an obstacle or diving into a task with urgency and determination, reflecting their spontaneous and uncalculated approach.",42.png
आग बिना धुआँ नहीं।,No smoke without fire.,Aag Bina Dhuan Nahi.,There is definitely a reason for everything.,"The Hindi idiom ""आग बिना धुआँ नहीं"" translates to ""There is no smoke without fire"" in English. This idiom means that if there are signs or rumors of a problem, there is likely some truth behind them. It suggests that visible evidence (smoke) usually indicates an underlying cause (fire). For an image representation, you might depict a scene where smoke is rising, hinting at a hidden fire source, symbolizing the idea that visible signs often point to a deeper reality.",43.png
आप भला तो जग भला।,"If you are good, the world is good.",Aap Bhala To Jag Bhala.,A good man gets good from all people.,"The Hindi idiom ""आप भला तो जग भला"" translates to ""If you are good, the world is good"" in English. This idiom suggests that one's positive attitude and good behavior can influence their perception of the world. When a person is kind, honest, and good-hearted, they tend to see the world in a more positive light, and their interactions with others are more likely to be pleasant and harmonious. Essentially, it emphasizes the importance of self-improvement and personal goodness in creating a better world around oneself.",44.png
अकेला हँसता भला न रोता भला।,"Alone, neither laughing nor crying is good.",Akela Hansa Bhala Na Rota Bhala.,One needs companionship in happiness and sorrow; a person can neither cry alone nor laugh alone.,"The Hindi idiom 'अकेला हँसता भला न रोता भला।' translates to ""It is better to laugh together than to laugh alone, and better to cry together than to cry alone."" This idiom emphasizes the importance of companionship and shared experiences, suggesting that both joy and sorrow are more meaningful and bearable when shared with others. 

For an image based on this idiom, you might envision two contrasting scenes: one where a person is laughing alone in an empty room, and another where a group of people are either laughing or crying together, highlighting the warmth and support of companionship.",45.png
अक्ल बड़ी या भैंस।,Is wisdom bigger or the buffalo?,Akal Badi Ya Bhains.,Intelligence is greater than physical strength.,"The Hindi idiom 'अक्ल बड़ी या भैंस' translates to 'Is wisdom greater or the buffalo?' in English. This idiom is used to question whether intelligence and wisdom are more valuable than brute strength or physical size. It often highlights the importance of using one's intellect over relying solely on physical power. 

For an image based on this idiom, you might depict a scene where a small, wise person (perhaps holding a book or a light bulb to symbolize wisdom) is standing next to a large, strong buffalo. The contrast between the two figures should emphasize the question of whether wisdom or physical strength is more important.",46.png
आँख के अंधे नाम नैनसुख।,"Blind of eye, name is Nainsukh.",Aankh Ke Andhe Naam Nainsukh.,The name being big and the behavior and qualities of the person being opposite to it.,"The idiom 'आँख के अंधे नाम नैनसुख।' translates to ""Blind in the eyes, but named Nainsukh (which means 'joy of the eyes')."" This idiom is used to highlight the irony or contradiction in a situation. It refers to someone whose name or title suggests a certain quality or attribute, but who actually lacks that very quality. In this case, it humorously points out the contradiction of a blind person being named 'Nainsukh,' which implies visual joy or beauty. 

For an image based on this idiom, you might depict a person with closed or covered eyes, symbolizing blindness, while surrounding them with elements that represent joy and beauty for the eyes, such as vibrant colors, flowers, or scenic landscapes. This contrast would visually capture the essence of the idiom.",47.png
आम के आम गुठलियों के दाम।,"Mangoes' price, seeds' price too.",Aam Ke Aam Guthliyon Ke Daam.,Taking double advantage.,"The Hindi idiom ""आम के आम गुठलियों के दाम"" translates to ""Mangoes and the price of the seeds"" in English. It signifies a situation where one gains multiple benefits from a single effort or investment. The imagery for this idiom could include a person enjoying ripe mangoes while also collecting the seeds, which have their own value, symbolizing the dual benefits.",48.png
आवाज़ उठाना।,To raise a voice.,Awaaz Uthana.,To express protest.,"The Hindi idiom 'आवाज़ उठाना' translates to 'raising one's voice' in English. It signifies speaking out against injustice, expressing one's opinion, or standing up for oneself or others. The imagery associated with this idiom could include a person confidently speaking into a microphone, a group of people holding signs at a protest, or an individual standing tall and assertive, symbolizing courage and advocacy.",49.png
आए थे हरि भजन को ओटन लगे कपास।,"Came to worship Hari, started spinning cotton.",Aaye The Hari Bhajan Ko Oton Lage Kapas.,"Even after aiming to do some great work, getting engaged in low level work.","The Hindi idiom 'आए थे हरि भजन को ओटन लगे कपास' translates to ""Came to sing the praises of Lord Hari, but ended up spinning cotton."" This idiom describes a situation where someone sets out to do something important or noble but gets distracted by trivial or unrelated tasks. It highlights the irony of losing focus on the main objective and getting caught up in less significant activities. 

For an image representation, you might visualize a person who initially appears to be in a serene, spiritual setting, perhaps with a musical instrument or prayer beads, but is then shown getting sidetracked by mundane tasks like spinning cotton or engaging in some other unrelated activity.",50.png
"आधी छोड़ पूरी को धावे, आधी रहे ना पूरी पावे।","Leave half for whole, lose both.","Aadhee Chhod Pooree Ko Dhaave, Aadhee Rahe Na Pooree Paave.",Excessive greed only leads to loss.,"The Hindi idiom ""आधी छोड़ पूरी को धावे, आधी रहे ना पूरी पावे।"" translates to ""One who abandons what they have in pursuit of more, ends up losing both."" This idiom conveys the idea that greed and the desire for more can lead to losing what one already possesses. It serves as a caution against being overly ambitious or greedy, suggesting that contentment with what one has is wiser than risking everything for uncertain gains.

For an image representation, you might consider depicting a person reaching out for a larger, distant fruit while dropping the smaller, closer fruit they already have, symbolizing the loss of both due to their greed.",51.png
अपनी चिलम भरने को मेरा झोपड़ा जलाते हो।,Burning my hut to fill your pipe.,Apni Chilam Bharne Ko Mera Jhopda Jalate Ho.,To cause great harm to someone else for your own little gain.,"The idiom ""अपनी चिलम भरने को मेरा झोपड़ा जलाते हो।"" translates to ""You burn down my hut to fill your own pipe."" It conveys the idea of someone causing significant harm or loss to another person for their own minor benefit or selfish gain. The imagery involves a person setting fire to someone else's humble dwelling just to satisfy a small personal need, highlighting the extreme selfishness and disregard for others' well-being.",52.png
अपनी गली में कुत्ता भी शेर।,Even a dog is a lion in its own street.,Apni Gali Mein Kutta Bhi Sher.,A person has power in his own home.,"The Hindi idiom ""अपनी गली में कुत्ता भी शेर।"" translates to ""Even a dog is a lion in its own street."" This means that someone may appear powerful or dominant in their own familiar environment or territory, but this perceived strength may not hold true outside of it. For an image representation, you could depict a confident dog standing proudly in a familiar alley or street, perhaps with a lion's shadow or aura to symbolize its perceived dominance in that specific area.",53.png
"अरहर की टट्टिया, गुजराती ताला।","Arhar's fence, Gujarati lock.","Arhar Ki Tatia, Gujarati Tala.",Such a huge arrangement to protect a small thing.,"The Hindi idiom 'अरहर की टट्टिया, गुजराती ताला।' translates to 'A fence made of pigeon pea stalks, secured with a Gujarati lock.' This idiom humorously highlights the futility of using a strong lock on a weak barrier. It implies that no matter how strong the security measure (the lock) is, it is ineffective if the primary structure (the fence) is weak or flimsy. The imagery suggests a mismatch between the strength of the lock and the fragility of the fence, emphasizing the importance of having a balanced and appropriate approach to security or protection.",54.png
अपनी पगड़ी अपने हाथ,Own turban in own hands.,Apni Pagdi Apne Haath.,Having your respect in your hands.,"The Hindi idiom 'अपनी पगड़ी अपने हाथ' translates to ""One's own turban in one's own hands"" in English. It signifies the importance of self-reliance and taking personal responsibility for one's own dignity and affairs. The imagery involves a person holding their own turban, symbolizing control over their own honor and actions, rather than relying on others.",55.png
आसमान का थूका मुँह पर आता है।,"Spit at the sky, it falls on your face.",Aasman Ka Thooka Munh Par Aata Hai.,Criticizing big people brings disgrace to oneself.,"The Hindi idiom ""आसमान का थूका मुँह पर आता है।"" translates to ""Spitting at the sky falls back on your face."" This idiom conveys the idea that actions intended to harm or insult others often end up backfiring on the person who initiated them. It suggests that negative actions or intentions can have unintended consequences that ultimately affect the doer. 

For an image representation, you might visualize a person looking up and spitting towards the sky, only for the spit to fall back down onto their own face, symbolizing the self-inflicted nature of their actions.",56.png
अटकेगा सो भटकेगा।,"Who gets stuck, will wander.",Atkega So Bhatkega.,"If you fall into dilemma or thinking, then the work remains incomplete.","The Hindi idiom ""अटकेगा सो भटकेगा"" translates to ""He who hesitates will wander."" It suggests that indecision or hesitation can lead to confusion and aimlessness. For an image representation, you might depict a person standing at a crossroads, looking uncertain and lost, with multiple paths stretching out in different directions, symbolizing the potential for wandering due to indecision.",57.png
अपना रख पराया चख,"Keep yours, taste others'.",Apna Rakh Paraya Chakh.,Take care of your things and use the things of others.,"The Hindi idiom 'अपना रख पराया चख' translates to ""Keep your own, taste others'."" It suggests that one should safeguard their own possessions while being open to experiencing or trying out what others have. This idiom emphasizes the importance of valuing and protecting what belongs to you while also being curious and open-minded about the world around you. 

For an image based on this idiom, you might depict a person holding a treasured item close to themselves while reaching out to sample or explore something new and different. This visual can convey the dual aspects of protection and curiosity inherent in the idiom.",58.png
"अपनी नींद सोना, अपनी नींद जागना।","Sleep your sleep, wake your wake.","Apni Neend Sona, Apni Neend Jagna.",To be completely independent.,"The Hindi idiom ""अपनी नींद सोना, अपनी नींद जागना।"" translates to ""Sleep your own sleep, wake up on your own time."" This idiom emphasizes the importance of living life according to one's own pace and rhythm. It suggests that one should follow their own natural schedule and instincts rather than conforming to external pressures or societal expectations. The imagery could include a person peacefully sleeping and waking up naturally, symbolizing a life led by personal comfort and inner guidance.",59.png
आकाश चूमना।,To kiss the sky.,Aakash Choomna.,To be high.,"The Hindi idiom 'आकाश चूमना' translates to 'touching the sky' in English. It signifies achieving great success or reaching the pinnacle of one's goals and aspirations. The imagery associated with this idiom often includes a person standing tall with arms outstretched towards the sky, symbolizing triumph, ambition, and the attainment of lofty heights.",60.png
अभी तो तुम्हारे दूध के दाँत भी नहीं टूटे।,Your milk teeth haven't fallen yet.,Abhi To Tumhare Doodh Ke Daant Bhi Nahi Tute.,You are still young and you are a child and innocent and unaware.,"The Hindi idiom 'अभी तो तुम्हारे दूध के दाँत भी नहीं टूटे' translates to 'Your milk teeth haven't even fallen out yet' in English. This idiom is used to imply that someone is still very young, inexperienced, or immature. It suggests that the person has a lot to learn and is not yet ready for certain responsibilities or challenges. 

For an image based on this idiom, you might depict a young child with a playful or innocent expression, possibly showing a smile with baby teeth. The background could include elements that emphasize youth and inexperience, such as toys or a classroom setting.",61.png
